player,stat_type,game_id,rec,yds,avg,td,long,tgts,fum,lost
Ashton Dulin,receiving,401773001,3,54,18.0,0,25,7,,
Tyler Warren,receiving,401773001,3,40,13.3,0,23,3,,
Adonai Mitchell,receiving,401773001,2,37,18.5,0,22,6,,
Laquon Treadwell,receiving,401773001,1,24,24.0,0,24,3,,
Jelani Woods,receiving,401773001,2,23,11.5,0,14,3,,
Ajou Ajou,receiving,401773001,3,18,6.0,0,8,5,,
Coleman Owen,receiving,401773001,4,18,4.5,0,6,6,,
Will Mallory,receiving,401773001,1,15,15.0,0,15,2,,
Anthony Gould,receiving,401773001,2,12,6.0,0,8,4,,
Drew Ogletree,receiving,401773001,1,7,7.0,0,7,1,,
Sean McKeon,receiving,401773001,1,5,5.0,0,5,1,,
Landon Parker,receiving,401773001,1,4,4.0,0,4,1,,
Khalil Herbert,receiving,401773001,0,0,0.0,0,0,1,,
Ulysses Bentley IV,receiving,401773001,0,0,0.0,0,0,1,,
DJ Giddens,receiving,401773001,0,0,0.0,0,0,1,,
Blayne Taylor,receiving,401773001,0,0,0.0,0,0,1,,
Tyler Kahmann,receiving,401773001,0,0,0.0,0,0,1,,
Devin Leary,receiving,401773001,0,,,,,,1,0
Ben Cleveland,receiving,401773001,1,,,,,,0,0
